Nome,Ruolo,Squadra,Q
Meret,P,Napoli,118
Svilar,P,Roma,94
Milinkovic-Savic V.,P,Torino,66
De Gea,P,Fiorentina,69
Carnesecchi,P,Atalanta,74
Sommer,P,Inter,83
Di Gregorio,P,Juventus,83
Maignan,P,Milan,67
Caprile,P,Cagliari,27
Skorupski,P,Bologna,40
Leali,P,Genoa,30
Mandas,P,Lazio,41
Falcone,P,Lecce,24
Suzuki,P,Parma,32
Vasquez D.,P,Empoli,9
Turati,P,Monza,7
Butez,P,Como,28
Martinez Jo.,P,Inter,1
Okoye,P,Udinese,17
Montipo',P,Verona,17
Stankovic F.,P,Venezia,1
Radu I.,P,Venezia,21
Provedel,P,Lazio,1
Ravaglia F.,P,Bologna,1
Sava,P,Udinese,1
Reina,P,Como,1
Sommariva,P,Genoa,1
Terracciano,P,Fiorentina,1
Perin,P,Juventus,1
Sportiello,P,Milan,1
Joronen,P,Venezia,1
Perilli,P,Verona,1
Pizzignacco,P,Monza,1
Siegrist,P,Genoa,1
Rossi F.,P,Atalanta,1
Bagnolini,P,Bologna,1
Scuffet,P,Napoli,1
Sherri,P,Cagliari,1
Vigorito,P,Como,1
Martinelli T.,P,Fiorentina,1
Gollini,P,Roma,1
Di Gennaro,P,Inter,1
Pinsoglio,P,Juventus,1
Furlanetto,P,Lazio,1
Fruchtl,P,Lecce,1
Samooja,P,Lecce,1
Nava,P,Milan,1
Contini,P,Napoli,1
Corvi,P,Parma,1
Paleari,P,Torino,1
Padelli,P,Udinese,1
Grandi,P,Venezia,1
Berardi A.,P,Verona,1
Brancolini,P,Empoli,1
Ciocci,P,Cagliari,1
Torriani,P,Milan,1
Donnarumma An.,P,Torino,1
Silvestri,P,Empoli,1
Mazza,P,Monza,1
Marin Re.,P,Roma,1
Rui Patricio,P,Atalanta,1
Seghetti,P,Empoli,1
Piana,P,Udinese,1
Marcone,P,Parma,1
Calligaris,P,Inter,1
De Marzi,P,Roma,1
Dimarco,D,Inter,98
Dumfries,D,Inter,105
Zortea,D,Cagliari,88
Carlos Augusto,D,Inter,33
Bastoni,D,Inter,86
Gosens,D,Fiorentina,74
Di Lorenzo,D,Napoli,76
Zappacosta,D,Atalanta,33
Martin,D,Genoa,52
Cambiaso,D,Juventus,41
Mancini,D,Roma,33
Angelino,D,Roma,50
Dodo',D,Fiorentina,46
Hernandez T.,D,Milan,53
Valeri,D,Parma,31
Bisseck,D,Inter,25
Darmian,D,Inter,18
Tavares N.,D,Lazio,36
Birindelli,D,Monza,10
Rrahmani,D,Napoli,54
Delprato,D,Parma,27
Bellanova,D,Atalanta,55
Luperto,D,Cagliari,21
Vasquez,D,Genoa,43
De Vrij,D,Inter,25
Marusic,D,Lazio,34
Kyriakopoulos,D,Monza,18
Buongiorno,D,Napoli,57
Spinazzola,D,Napoli,22
Gigot,D,Lazio,13
Miranda J.,D,Bologna,30
Augello,D,Cagliari,31
Ismajli,D,Empoli,21
Cacace,D,Empoli,14
Pezzella Giu.,D,Empoli,19
Parisi,D,Fiorentina,13
Gatti,D,Juventus,15
Baschirotto,D,Lecce,18
Gabbia,D,Milan,12
N'Dicka,D,Roma,27
Mina,D,Cagliari,23
Ranieri L.,D,Fiorentina,18
De Winter,D,Genoa,25
Gila,D,Lazio,22
Gaspar K.,D,Lecce,22
Kalulu,D,Juventus,26
Olivera,D,Napoli,23
Lazaro,D,Torino,23
Kamara H.,D,Udinese,14
Idzes,D,Venezia,18
Pavlovic,D,Milan,16
Solet,D,Udinese,42
Djimsiti,D,Atalanta,23
Ruggeri,D,Atalanta,10
Beukema,D,Bologna,24
Zappa,D,Cagliari,20
Viti,D,Empoli,12
Acerbi,D,Inter,28
Bremer,D,Juventus,39
Romagnoli,D,Lazio,27
Pellegrini Lu.,D,Lazio,13
Valenti,D,Parma,12
Vojvoda,D,Como,22
Masina,D,Torino,15
Bijol,D,Udinese,23
Tchatchoua,D,Verona,16
Savona,D,Juventus,12
Cuadrado,D,Atalanta,15
Maripan,D,Torino,21
Walker,D,Milan,16
Holm,D,Bologna,12
Lykogiannis,D,Bologna,13
Comuzzo,D,Fiorentina,14
Biraghi,D,Torino,23
Sabelli,D,Genoa,12
Pavard,D,Inter,23
Tomori,D,Milan,18
Coppola D.,D,Verona,11
Haps,D,Venezia,9
Jimenez A.,D,Milan,24
Kolasinac,D,Atalanta,26
Obert,D,Cagliari,13
Goldaniga,D,Como,13
Zanoli,D,Genoa,16
Mari',D,Fiorentina,17
Coco,D,Torino,20
Kabasele,D,Udinese,7
Ehizibue,D,Udinese,11
Emerson Royal,D,Milan,12
